roadNmCd,population,household
117103123017,336821,130505
511503000145,90363,41760
282603156046,256841,103473
416102211001,184144,76306
412903195023,72881,25625
411173177021,233976,97325
412103187036,220623,86726
291402009006,146459,64044
115304148337,185193,81063
471902308001,150519,63669
521303268010,77151,34651
264104205400,102866,47225
471503306048,44851,21205
415703209163,149697,60971
413603197013,363572,146458
521903271007,26450,13214
413603197018,363572,146458
301102010003,105803,49885
471903308052,150519,63669
414632203001,237374,92806
281103149063,104781,47714
511703221044,42775,20960
301703166020,312599,129797
481253329023,67004,29861
114403005016,155219,75063
272603146007,241965,95407
117403124001,222322,92359
114703114014,237943,93221
461103281056,93648,44626
112603000001,155939,74961
262904006033,148937,64007
112903005039,147932,61889
271403142029,150847,68961
413603197037,363572,146458
414633204064,237374,92806
441803252041,35779,18450
291553161009,95808,41175
411353180030,359065,141442
265303139003,112760,52428
482403019029,39169,19052
414103200016,165158,71029
472502018003,28450,14576
501303349235,35756,17367
442103000117,67616,30801
411133000064,146323,62665
411313178018,120050,52798
272903147034,312200,130703
361103258061,182222,73707
512103223027,53694,26081
113803005054,264151,116644
116803122002,270993,107814
411132012008,146323,62665
414653205012,293578,107449
461503283029,79150,31583
114703005069,237943,93221
501103020003,45802,21739
114403005057,155219,75063
442003015033,175131,75450
471704721846,38756,20524
412733191064,194458,83898
415503208066,90383,41352
483304814599,163073,69938
116503121007,156751,61266
416303215066,129419,56777
521133351484,125703,54417
461303282069,122353,54579
115604154695,162097,77177
416703214032,63312,29928
116803122008,270993,107814
281852008007,229295,94882
472303310025,29698,16952
413702012013,184948,79412
311403170008,114883,47796
511303219073,196730,87129
411503181013,282546,119854
415003207044,83844,37564
521403269066,75446,36053
412853192094,242037,102434
112153000002,114448,55798
521113266017,187758,79405
501103349197,45802,21739
431503239064,45883,22789
411923184019,237396,100076
413604391199,363572,146458
481703332056,115317,52011
113204127028,176999,77565
481232327001,167802,70328
441332250002,221498,90859
441333249071,221498,90859
441313249008,122885,55332
117402000008,222322,92359
111403100021,62548,32889
431123236067,108816,48543
511103000120,130581,57052
431302246001,72346,33227
272303007023,219534,93421
482203333030,54662,25413
414803206100,246727,102194
414804418128,246727,102194
411732182002,245468,97243
412203188065,123590,60372
416503000136,64222,31507
471133303006,125092,53314
471113303004,105093,45661
412853193011,242037,102434
414503202019,241315,101401
112903005036,147932,61889
263503133039,240833,101856
415933012007,0,0
412813192027,307464,130213
414633204076,237374,92806
